PT Sembodo Rental Indonesia,,,,
Sales by Customer,,,,
01/07/2025 - 05/11/2025,,,,
(in IDR),,,,
,,,,
Customer / Date,No,Product,Description,Qty
27/10/2025,11991,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 27 Oktober 2025,1
28/10/2025,11992,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 28 Oktober 2025,1
29/10/2025,11993,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 29 Oktober 2025,1
30/10/2025,11997,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 30 Oktober 2025,1
31/10/2025,11998,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 31 Oktober 2025,1
01/11/2025,12034,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 1 November 2025,1
02/11/2025,12035,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 2 November 2025,1
03/11/2025,12036,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 3 November 2025,1
01/07/2025,11219,Toyota Fortuner VRZ - B 2906 SJJ,Sewa lepas kunci harian tanggal 01 Juli 2025,1
02/07/2025,11258,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 02 Juli 2025,1
03/07/2025,11259,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 03 Juli 2025,1
04/07/2025,11260,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 04 Juli 2025,1
05/07/2025,11265,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 5 Juli 2025,1
06/07/2025,11266,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 6 Juli 2025,1
07/07/2025,11267,Toyota Fortuner VRZ - B 2906 SJJ,Sewa Kendaraan Lepas Kunci Harian Tanggal 7 Juli 2025,1
08/07/2025,11268,Toyota Fortuner VRZ - B 2906 SJJ,Sewa lepas kunci tanggal 8 Juli 2025,1
09/07/2025,11295,Toyota Fortuner VRZ - B 2906 SJJ,Sewa lepas kunci tanggal 9 Juli 2025,1
10/07/2025,11296,Toyota Fortuner VRZ - B 2906 SJJ,Sewa lepas kunci tanggal 10 Juli 2025,1
11/07/2025,11297,Toyota Fortuner VRZ - B 2906 SJJ,Sewa lepas kunci tanggal 11 Juli 2025,1
12/07/2025,11317,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 12 Juli 2025 ,1
13/07/2025,11318,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 13 Juli 2025 ,1
14/07/2025,11319,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 14 Juli 2025 ,1
15/07/2025,11320,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 15 Juli 2025 ,1
16/07/2025,11335,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 16 Juli 2025 ,1
17/07/2025,11336,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 17 Juli 2025 ,1
18/07/2025,11337,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 18 Juli 2025 ,1
19/07/2025,11348,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 19 Juli 2025 ,1
20/07/2025,11349,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 20 Juli 2025 ,1
21/07/2025,11350,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 21 Juli 2025 ,1
22/07/2025,11356,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 22 Juli 2025 ,1
23/07/2025,11357,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 23 Juli 2025 ,1
24/07/2025,11358,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 24 Juli 2025 ,1
25/07/2025,11385,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 25 Juli 2025 ,1
26/07/2025,11386,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 26 Juli 2025 ,1
,,,,
BIRO PERENCANAAN SETJEN KEMENTERIAN PERHUBUNGAN SEKRETARIAT JENDERAL KEMENTERIAN PERHUBUNGAN,,,,
05/08/2025,11540,Hyundai Kona EV Signature  Long Range,Sewa tanpa pengemudi bulan Juli 2025,1
01/09/2025,11772,Hyundai Kona EV Signature  Long Range,Sewa tanpa pengemudi bulan Agustus 2025,1
07/10/2025,11902,Hyundai Kona EV Signature  Long Range,sewa tanpa pengemudi bulan September 2025,1
,,,,
Kementerian Pertanian - Badan Perakitan dan Modernisasi Pertanian,,,,
22/07/2025,11369,Toyota Innova Zenix,Sewa tanpa pengemudi   bulan April - Mei 2025,2
22/07/2025,11369,Toyota Innova Zenix,Sewa tanpa pengemudi   bulan April - Mei 2025,2
22/07/2025,11369,Toyota Innova Zenix,Sewa tanpa pengemudi   bulan April - Mei 2025,2
22/07/2025,11369,Toyota Innova Zenix,Sewa tanpa pengemudi   bulan April - Mei 2025,2
01/09/2025,11840,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juni - Agutus 2025,3
01/09/2025,11840,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juni - Agutus 2025,3
01/09/2025,11840,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juni - Agutus 2025,3
01/09/2025,11840,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juni - Agutus 2025,3
29/09/2025,11881,Toyota Innova Zenix,sewa tanpa pengemudi bulan September 2025,1
29/09/2025,11881,Toyota Innova Zenix,sewa tanpa pengemudi bulan September 2025,1
29/09/2025,11881,Toyota Innova Zenix,sewa tanpa pengemudi bulan September 2025,1
29/09/2025,11881,Toyota Innova Zenix,sewa tanpa pengemudi bulan September 2025,1
01/10/2025,11882,Toyota Innova Zenix,sewa tanpa pengemudi bulan Oktober 2025,1
01/10/2025,11882,Toyota Innova Zenix,sewa tanpa pengemudi bulan Oktober 2025,1
01/10/2025,11882,Toyota Innova Zenix,sewa tanpa pengemudi bulan Oktober 2025,1
01/10/2025,11882,Toyota Innova Zenix,sewa tanpa pengemudi bulan Oktober 2025,1
,,,,
Calista Prima Wisata,,,,
02/07/2025,11243,Toyota Fortuner - B 2346 RFS,Sewa 12 Jam dalam kota dengan driver tanggal 2 Juli 2025,1
,,,,
Catur Pratama RC,,,,
26/07/2025,11384,Toyota Alphard G - B 1439 DYA,Sewa Kendaraan Lepas Kunci Harian Tanggal 24 - 25 Juli 2025,2
,,,,
DAUR ULANG LANCAR,,,,
09/10/2025,11911,Toyota Innova Zenix V - B 1922 DOZ,Sewa 12 Jam Luar kota dengan Pengemudi tanggal 20 Oktober 2025,1
,,,,
Direktorat Jenderal Pembangunan Dan Pengembangan Kawasan Transmigrasi Direktorat Jenderal Pembangunan Dan Pengembangan Kawasan Transmigrasi Kementerian Transmigrasi,,,,
15/07/2025,11321,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juni 2025 (5 Unit) ,5
15/07/2025,11321,Mitsubishi Xpander Ultimate,Sewa tanpa pengemudi bulan Juni 2025 (7 Unit) ,7
15/07/2025,11321,Honda WR-V  - B 1796 DOT,Sewa tanpa pengemudi bulan Juni 2025,1
15/07/2025,11322,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli - Desember  2025 (5 Unit) ,30
15/07/2025,11322,Mitsubishi Xpander Ultimate,Sewa tanpa pengemudi bulan Juli - Desember  2025 (6 Unit) ,42
15/07/2025,11322,Honda WR-V  - B 1796 DOT,Sewa tanpa pengemudi bulan Juli - Desember  2025,6
,,,,
Direktorat Jenderal Pengembangan Ekonomi Dan Investasi Desa Dan Daerah Tertinggal Direktorat Jenderal Pengembangan Ekonomi Dan Investasi Desa Dan Daerah Tertinggal Kementerian Desa Dan Pembangunan Daerah Tertinggal,,,,
05/08/2025,11543,Mitsubishi Xpander Ultimate,Sewa tanpa pengemudi bulan Agustus - Desember 2025,5
05/08/2025,11543,Toyota Rush,Sewa tanpa pengemudi bulan Agustus - Desember 2025,5
05/08/2025,11546,Mitsubishi Xpander Ultimate,Sewa tanpa pengemudi bulan Agustus - Desember 2025,5
05/08/2025,11546,Mitsubishi Xpander Ultimate,Sewa tanpa pengemudi bulan Agustus - Desember 2025,5
05/08/2025,11546,Toyota Rush,Sewa tanpa pengemudi bulan Agustus - Desember 2025,5
,,,,
Direktorat Jenderal Prasarana Dan Sarana Ditjen Prasarana Dan Saran Pertanian Kementerian Pertanian,,,,
31/07/2025,11539,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025 (4 Unit Zenix V),4
31/07/2025,11539,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025 (5 unit Zenix G),5
29/08/2025,11773,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus 2025 (4 Unit) ,4
,,,,
DONGFANG ELECTRIC INDONESIA,,,,
15/10/2025,11929,Toyota Voxy,"sewa kendaraan dengan pengemudi Fullday dalam kota tanggal 17, 20 - 22 Oktober 2025",4
,,,,
Farhan Rent Car,,,,
03/10/2025,11938,Toyota Innova Zenix Q Hybrid - B 1184 DZR,Sewa kendaraan lepas kunci harian tanggal 3 Oktober 2025,1
,,,,
Fiqriawan (Trans Prima Solusindo),,,,
04/10/2025,11897,Toyota Voxy,Sewa kendaraan lepas kunci harian tanggal 5-10 Oktober 2025,6
,,,,
Hong Kong Economic & Trade Office,,,,
08/10/2025,11904,Toyota Alphard G  - B 202 MOR,Sewa kendaraan dengan pengemudi 12 Jam dalam kota tanggal 08 Oktober 2025 pengemudi Tomi,1
08/10/2025,11904,Toyota Alphard G Hybrid - B 1671 DZW,Sewa kendaraan dengan pengemudi 12 Jam dalam kota tanggal 08 Oktober 2025 pengemudi Agung,1
08/10/2025,11904,Toyota Alphard G  - B 202 MOR,Sewa kendaraan dengan pengemudi 12 Jam dalam kota tanggal 10 Oktober 2025 pengemudi Tomi,1
08/10/2025,11904,Toyota Hiace Premio,14 Seat - Sewa kendaraan dengan pengemudi 12 Jam dalam kota tanggal 09 Oktober 2025,1
,,,,
Ibu Diana Kementan,,,,
13/07/2025,11392,Toyota Innova Zenix G Hybrid - B 1928 DZR,Sewa kendaraan lepas kunci Tanggal 14-17 Juli 2025,4
,,,,
Ibu Widya Kementan SDM,,,,
19/08/2025,11649,Toyota Innova Zenix,Sewa kendaraan lepas kunci bulanan periode tanggal 18 Juli - 19 Agustus 2025,1
,,,,
IR JUAINI MM,,,,
11/07/2025,11301,Toyota Alphard G Hybrid - B 1671 DZW,Sewa Kendaraan Lepas Kunci Harian Tanggal 11 Juli 2025,1
,,,,
"ITSEC ASIA, TBK",,,,
21/07/2025,11352,Toyota Avanza,"Sewa Mobil
dan pengemudi 12 jam Luar
Kota (Pruwakarta) ALLIN ,
Tanggal 22 Juli 2025",2
,,,,
Kementerian Koordinator Bidang Politik Dan Keamanan Sekretariat Kementerian Koordinator Bidang Politik Dan Keamanan,,,,
01/11/2025,12012,Toyota Innova Zenix,Q Hybrid CVT - Sewa Kendaraan Lepas Kunci Bulanan Periode 01 - 30 November 2025,1
,,,,
Kementerian Pertanian Lahan Irigasi Pertanian,,,,
14/07/2025,11866,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025 (5 Unit),5
18/08/2025,11867,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus 2025 (5 Unit),4
